代码,指数名称,日期,rule_id,factor,position,strategy_return,benchmark_return
000985.CSI,中证全指,2017-06-27,chip_profit_index,指数筹码盈利,1.0,0.0016516153167702718,0.0016516153167702718
000985.CSI,中证全指,2017-06-28,chip_profit_index,指数筹码盈利,1.0,-0.006855372774737911,-0.006855372774737911
000985.CSI,中证全指,2017-06-29,chip_profit_index,指数筹码盈利,1.0,0.005100153113996697,0.005100153113996697
000985.CSI,中证全指,2017-06-30,chip_profit_index,指数筹码盈利,1.0,0.0008452613446865431,0.0008452613446865431
000985.CSI,中证全指,2017-07-03,chip_profit_index,指数筹码盈利,1.0,0.0019372225642768637,0.0019372225642768637
000985.CSI,中证全指,2017-07-04,chip_profit_index,指数筹码盈利,1.0,-0.005490479005659021,-0.005490479005659021
000985.CSI,中证全指,2017-07-05,chip_profit_index,指数筹码盈利,1.0,0.009130699576499923,0.009130699576499923
000985.CSI,中证全指,2017-07-06,chip_profit_index,指数筹码盈利,1.0,0.0008533408111450758,0.0008533408111450758
000985.CSI,中证全指,2017-07-07,chip_profit_index,指数筹码盈利,1.0,0.001245417500538526,0.001245417500538526
000985.CSI,中证全指,2017-07-10,chip_profit_index,指数筹码盈利,1.0,-0.0028474651334003953,-0.0028474651334003953
000985.CSI,中证全指,2017-07-11,chip_profit_index,指数筹码盈利,1.0,-0.004273133690184894,-0.004273133690184894
000985.CSI,中证全指,2017-07-12,chip_profit_index,指数筹码盈利,1.0,-0.0019167668877184685,-0.0019167668877184685
000985.CSI,中证全指,2017-07-13,chip_profit_index,指数筹码盈利,1.0,0.004032594417826774,0.004032594417826774
000985.CSI,中证全指,2017-07-14,chip_profit_index,指数筹码盈利,1.0,-0.0006365540804483816,-0.0006365540804483816
000985.CSI,中证全指,2017-07-17,chip_profit_index,指数筹码盈利,1.0,-0.03001448049796629,-0.03001448049796629
000985.CSI,中证全指,2017-07-18,chip_profit_index,指数筹码盈利,1.0,0.0053077735471271925,0.0053077735471271925
000985.CSI,中证全指,2017-07-19,chip_profit_index,指数筹码盈利,1.0,0.01621421442005766,0.01621421442005766
000985.CSI,中证全指,2017-07-20,chip_profit_index,指数筹码盈利,1.0,0.005094773629131355,0.005094773629131355
000985.CSI,中证全指,2017-07-21,chip_profit_index,指数筹码盈利,1.0,-0.0016167156891029322,-0.0016167156891029322
000985.CSI,中证全指,2017-07-24,chip_profit_index,指数筹码盈利,1.0,0.005016352655976997,0.005016352655976997
000985.CSI,中证全指,2017-07-25,chip_profit_index,指数筹码盈利,1.0,-0.004193065771159299,-0.004193065771159299
000985.CSI,中证全指,2017-07-26,chip_profit_index,指数筹码盈利,1.0,-0.0017728137442470926,-0.0017728137442470926
000985.CSI,中证全指,2017-07-27,chip_profit_index,指数筹码盈利,1.0,0.006349215371784567,0.006349215371784567
000985.CSI,中证全指,2017-07-28,chip_profit_index,指数筹码盈利,1.0,0.002109328348716799,0.002109328348716799
000985.CSI,中证全指,2017-07-31,chip_profit_index,指数筹码盈利,1.0,0.006840047203578115,0.006840047203578115
000985.CSI,中证全指,2017-08-01,chip_profit_index,指数筹码盈利,1.0,0.004176284220045456,0.004176284220045456
000985.CSI,中证全指,2017-08-02,chip_profit_index,指数筹码盈利,1.0,-0.005046790224444875,-0.005046790224444875
000985.CSI,中证全指,2017-08-03,chip_profit_index,指数筹码盈利,1.0,-0.0023731527002099906,-0.0023731527002099906
000985.CSI,中证全指,2017-08-04,chip_profit_index,指数筹码盈利,1.0,-0.005056248363022764,-0.005056248363022764
000985.CSI,中证全指,2017-08-07,chip_profit_index,指数筹码盈利,1.0,0.007190181162550324,0.007190181162550324
000985.CSI,中证全指,2017-08-08,chip_profit_index,指数筹码盈利,1.0,0.0019666648226353,0.0019666648226353
000985.CSI,中证全指,2017-08-09,chip_profit_index,指数筹码盈利,1.0,0.0019118393866797145,0.0019118393866797145
000985.CSI,中证全指,2017-08-10,chip_profit_index,指数筹码盈利,1.0,-0.0062044285478939365,-0.0062044285478939365
000985.CSI,中证全指,2017-08-11,chip_profit_index,指数筹码盈利,1.0,-0.017711709813200138,-0.017711709813200138
000985.CSI,中证全指,2017-08-14,chip_profit_index,指数筹码盈利,1.0,0.016331613159272118,0.016331613159272118
000985.CSI,中证全指,2017-08-15,chip_profit_index,指数筹码盈利,1.0,0.0033469029648034443,0.0033469029648034443
000985.CSI,中证全指,2017-08-16,chip_profit_index,指数筹码盈利,1.0,0.0012214181150389525,0.0012214181150389525
000985.CSI,中证全指,2017-08-17,chip_profit_index,指数筹码盈利,1.0,0.00676404472795733,0.00676404472795733
